2024;01;01;00;-12,7;763;1;180
2024;01;01;03;-14;764;0;180
2024;01;01;06;-16,9;764;0;180
2024;01;01;09;-18;765;0;180
2024;01;01;12;-14,1;766;1;270
2024;01;01;15;-15,3;767;0;180
2024;01;01;18;-17;768;1;270
2024;01;01;21;-17,4;768;1;270
2024;01;02;00;-18,1;769;1;270
2024;01;02;03;-19,1;769;1;270
2024;01;02;06;-20,9;769;0;180
2024;01;02;09;-20,8;768;1;180
2024;01;02;12;-19,3;769;1;45
2024;01;02;15;-18,1;768;0;180
2024;01;02;18;-16,3;768;0;180
2024;01;02;21;-17,9;768;0;180
2024;01;03;00;-18,5;768;0;180
2024;01;03;03;-20,6;768;1;270
2024;01;03;06;-23,3;767;0;180
2024;01;03;09;-23,3;767;0;180
2024;01;03;12;-22,3;767;1;270
2024;01;03;15;-22,2;766;1;270
2024;01;03;18;-23,6;766;0;180
2024;01;03;21;-23,5;765;1;270
2024;01;04;00;-22,9;764;1;270
2024;01;04;03;-23,7;764;1;225
2024;01;04;06;-24,8;763;0;180
2024;01;04;09;-25,1;763;1;270
2024;01;04;12;-24,2;763;0;180
2024;01;04;15;-22,4;763;1;225
2024;01;04;18;-22,2;762;1;270
2024;01;04;21;-23,1;763;0;180
2024;01;05;00;-23;763;0;180
2024;01;05;03;-22,5;762;0;180
2024;01;05;06;-22,3;761;0;180
2024;01;05;09;-23,5;761;1;270
2024;01;05;12;-23,1;761;1;270
2024;01;05;15;-21,2;760;1;270
2024;01;05;18;-20,2;760;1;270
2024;01;05;21;-18,4;759;1;270
2024;01;06;00;-18,3;760;1;270
2024;01;06;03;-17,7;760;1;225
2024;01;06;06;-17,2;761;0;180
2024;01;06;09;-16,8;762;1;225
2024;01;06;12;-16,8;764;1;225
2024;01;06;15;-14,5;765;1;225
2024;01;06;18;-15,2;767;1;225
2024;01;06;21;-16,3;768;0;180
2024;01;07;00;-17;769;1;45
2024;01;07;03;-19,2;771;0;180
2024;01;07;06;-20,1;772;1;45
2024;01;07;09;-20,6;773;0;180
2024;01;07;12;-19,5;774;1;45
2024;01;07;15;-15,9;774;1;90
2024;01;07;18;-18,4;775;1;45
2024;01;07;21;-18,8;775;1;45
2024;01;08;00;-17,6;774;1;90
2024;01;08;03;-14,8;773;2;90
2024;01;08;06;-13,4;771;1;90
2024;01;08;09;-8,5;769;3;90
2024;01;08;12;-4,8;767;5;90
2024;01;08;15;-5,3;767;3;135
2024;01;08;18;-5,3;768;2;135
2024;01;08;21;-4,3;768;2;135
2024;01;09;00;-7,5;769;1;90
2024;01;09;03;-3,9;767;1;90
2024;01;09;06;-2,9;765;3;45
2024;01;09;09;-1;762;5;90
2024;01;09;12;-1,4;761;6;90
2024;01;09;15;0,1;759;4;90
2024;01;09;18;0,9;759;4;90
2024;01;09;21;1,4;760;3;135
2024;01;10;00;1,3;761;2;135
2024;01;10;03;-0,4;763;2;225
2024;01;10;06;-3,2;764;1;225
2024;01;10;09;-4,8;765;1;315
2024;01;10;12;-4,4;763;2;0
2024;01;10;15;-1,8;760;2;45
2024;01;10;18;0,2;755;3;90
2024;01;10;21;0,6;753;3;90
2024;01;11;00;1;751;3;90
2024;01;11;03;1;750;3;135
2024;01;11;06;-0,5;752;3;180
2024;01;11;09;-4,8;755;3;180
2024;01;11;12;-6,8;758;5;180
2024;01;11;15;-7,3;760;4;180
2024;01;11;18;-7,6;762;3;180
2024;01;11;21;-9,7;764;3;180
2024;01;12;00;-11,7;764;2;135
